Seq #,Journal Title,ISSN,E-ISSN,WoS Edition,WoS Category,Active WoS CC
04113J,TGO-TIJDSCHRIFT VOOR GENEESMIDDELENONDERZOEK-JOURNAL OF DRUG RESEARCH-JDR,0166-2384,,SCIE,PHARMACOLOGY & PHARMACY,No
05961J,TGO-TIJDSCHRIFT VOOR THERAPIE GENEESMIDDEL EN ONDERZOEK JDR-JOURNAL FOR DRUGTHERAPY AND RESEARCH,0166-2384,,SCIE,PHARMACOLOGY & PHARMACY,No
05961J,TGO-TIJDSCHRIFT VOOR THERAPIE GENEESMIDDEL EN ONDERZOEK JDR-JOURNAL FOR DRUGTHERAPY AND RESEARCH,0166-2384,,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,No
D9870J,Thai Journal of Mathematics,1686-0209,1686-0209,ESCI,MATHEMATICS,Yes
C7569J,Thai Journal of Veterinary Medicine,0125-6491,0125-6491,SCIE,VETERINARY SCIENCES,Yes
E0616J,Thailand Statistician,1685-9057,2351-0676,ESCI,STATISTICS & PROBABILITY,Yes
C5677J,THALASSAS,0212-5919,2366-1674,SCIE,OCEANOGRAPHY,Yes
C5677J,THALASSAS,0212-5919,2366-1674,SCIE,MARINE & FRESHWATER BIOLOGY,Yes
D3588J,Thalassemia Reports,2039-4357,2039-4365,ESCI,HEMATOLOGY,Yes
01141J,THALIA-STUDIES IN LITERARY HUMOR,0706-5604,,AHCI,LITERATURE,No
01001J,THEATER,0161-0775,,AHCI,THEATER,Yes
03225J,THEATER DER ZEIT,0040-5418,,AHCI,THEATER,No
01671J,THEATER HEUTE,0040-5507,,AHCI,THEATER,Yes
00735J,THEATRE ANNUAL,,,AHCI,THEATER,No
00938J,THEATRE CRAFTS,0040-5469,,AHCI,THEATER,No
D3433J,Theatre Dance and Performance Training,1944-3927,1944-3919,ESCI,HUMANITIES> MULTIDISCIPLINARY,Yes
01673J,THEATRE EN POLOGNE-THEATRE IN POLAND,0040-5493,,AHCI,THEATER,No
04428J,THEATRE HISTORY IN CANADA-HISTOIRE DU THEATRE AU CANADA,0226-5761,,AHCI,THEATER,No
09036J,THEATRE HISTORY STUDIES,0733-2033,,AHCI,THEATER,Yes
04293J,THEATRE INTERNATIONAL,0262-0413,,AHCI,THEATER,No
01593J,THEATRE JOURNAL,0192-2882,1086-332X,AHCI,THEATER,Yes
00038J,THEATRE NOTEBOOK,0040-5523,,AHCI,THEATER,Yes
01414J,THEATRE QUARTERLY,0049-3600,,AHCI,THEATER,No
10227J,THEATRE RESEARCH IN CANADA-RECHERCHES THEATRALES AU CANADA,1196-1198,,AHCI,THEATER,No
00085J,THEATRE RESEARCH INTERNATIONAL,0307-8833,1474-0672,AHCI,THEATER,Yes
01116J,THEATRE STUDIES,0362-0964,,AHCI,THEATER,No
00261J,THEATRE SURVEY,0040-5574,1475-4533,AHCI,THEATER,Yes
D5210J,Theleme-Revista Complutense de Estudios Franceses,1139-9368,1989-8193,ESCI,LITERATURE> ROMANCE,Yes
D6328J,Themata-Revista de Filosofia,0212-8365,2253-900X,ESCI,PHILOSOPHY,Yes
D3080J,Theoforum,1495-7922,2295-5178,ESCI,RELIGION,No
00241J,THEOLOGICAL STUDIES,0040-5639,2169-1304,AHCI,RELIGION,Yes
E0194J,Theology,0040-571X,2044-2696,ESCI,RELIGION,Yes
D4087J,Theology & Sexuality,1355-8358,1745-5170,ESCI,RELIGION,Yes
D3250J,Theology and Science,1474-6700,1474-6719,SCIE> ESCI> AHCI,RELIGION,Yes
D3250J,Theology and Science,1474-6700,1474-6719,SCIE> ESCI> AHCI,HISTORY & PHILOSOPHY OF SCIENCE,Yes
00240J,THEOLOGY TODAY,0040-5736,2044-2556,AHCI,RELIGION,Yes
91960J,THEORETICA CHIMICA ACTA,0040-5744,,SCIE,CHEMISTRY> PHYSICAL,No
06534J,THEORETICAL AND APPLIED CLIMATOLOGY,0177-798X,1434-4483,SCIE,METEOROLOGY & ATMOSPHERIC SCIENCES,Yes
06678J,THEORETICAL AND APPLIED FRACTURE MECHANICS,0167-8442,1872-7638,SCIE,MECHANICS,Yes
06678J,THEORETICAL AND APPLIED FRACTURE MECHANICS,0167-8442,1872-7638,SCIE,ENGINEERING> MECHANICAL,Yes
91938J,THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,SCIE,GENETICS & HEREDITY,Yes
91938J,THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,SCIE,HORTICULTURE,Yes
91938J,THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,SCIE,AGRONOMY,Yes
91938J,THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,SCIE,PLANT SCIENCES,Yes
D5670J,Theoretical and Applied Mechanics,1450-5584,1450-5584,ESCI,MECHANICS,Yes
D4914J,Theoretical and Applied Mechanics Japan,1348-0693,1349-4244,ESCI,MECHANICS,Yes
E0078J,Theoretical and Applied Mechanics Letters,2095-0349,2095-0349,ESCI,MECHANICS,Yes
10688J,THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,0935-4964,1432-2250,SCIE,MECHANICS,Yes
10688J,THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,0935-4964,1432-2250,SCIE,PHYSICS> FLUIDS & PLASMAS,Yes
C8375J,Theoretical and Experimental Chemistry,0040-5760,1573-935X,SCIE,CHEMISTRY> MULTIDISCIPLINARY,Yes
D2603J,Theoretical and Experimental Plant Physiology,2197-0025,2197-0025,SCIE,PLANT SCIENCES,Yes
91967J,THEORETICAL AND MATHEMATICAL PHYSICS,0040-5779,1573-9333,SCIE,PHYSICS> MATHEMATICAL,Yes
91967J,THEORETICAL AND MATHEMATICAL PHYSICS,0040-5779,1573-9333,SCIE,PHYSICS> MULTIDISCIPLINARY,Yes
E0267J,Theoretical and Practical Issues of Journalism,2308-6203,2308-6211,ESCI,COMMUNICATION,Yes
C9297J,Theoretical Biology and Medical Modelling,1742-4682,,SCIE,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Yes
D0854J,Theoretical Biology Forum,0035-6050,,SCIE,BIOLOGY,Yes
12031J,THEORETICAL CHEMISTRY ACCOUNTS,1432-881X,1432-2234,SCIE,CHEMISTRY> PHYSICAL,Yes
03116J,THEORETICAL COMPUTER SCIENCE,0304-3975,1879-2294,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
13490J,THEORETICAL CRIMINOLOGY,1362-4806,1461-7439,SSCI,CRIMINOLOGY & PENOLOGY,Yes
C9323J,Theoretical Ecology,1874-1738,1874-1746,SCIE,ECOLOGY,Yes
D0846J,Theoretical Economics,1555-7561,1555-7561,SSCI,ECONOMICS,Yes
11301J,THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,0040-5795,1608-3431,SCIE,ENGINEERING> CHEMICAL,Yes
D7867J,Theoretical Issues in Ergonomics Science,1463-922X,1464-536X,ESCI,ERGONOMICS,Yes
04389J,THEORETICAL LINGUISTICS,0301-4428,1613-4060,AHCI> SSCI,LINGUISTICS,Yes
04389J,THEORETICAL LINGUISTICS,0301-4428,1613-4060,AHCI> SSCI,LANGUAGE & LINGUISTICS,Yes
09348J,THEORETICAL MEDICINE,0167-9902,,SSCI,SOCIAL ISSUES,No
09348J,THEORETICAL MEDICINE,0167-9902,,SSCI,MEDICINE> LEGAL,No
12273J,THEORETICAL MEDICINE AND BIOETHICS,1386-7415,1573-1200,SSCI,SOCIAL SCIENCES> BIOMEDICAL,Yes
12273J,THEORETICAL MEDICINE AND BIOETHICS,1386-7415,1573-1200,SSCI,ETHICS,Yes
12273J,THEORETICAL MEDICINE AND BIOETHICS,1386-7415,1573-1200,SSCI,SOCIAL ISSUES,Yes
91970J,THEORETICAL POPULATION BIOLOGY,0040-5809,1096-0325,SCIE,ECOLOGY,Yes
91970J,THEORETICAL POPULATION BIOLOGY,0040-5809,1096-0325,SCIE,EVOLUTIONARY BIOLOGY,Yes
91970J,THEORETICAL POPULATION BIOLOGY,0040-5809,1096-0325,SCIE,GENETICS & HEREDITY,Yes
91970J,THEORETICAL POPULATION BIOLOGY,0040-5809,1096-0325,SCIE,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Yes
09277J,THEORETICAL SURGERY,0179-8669,,SCIE,SURGERY,No
91994J,THEORIA,0040-5817,1558-5816,ESCI> AHCI> SSCI,SOCIOLOGY,Yes
C7968J,Theoria-A Swedish Journal of Philosophy,0040-5825,1755-2567,AHCI,PHILOSOPHY,Yes
13765J,THEORIA-REVISTA DE TEORIA HISTORIA Y FUNDAMENTOS DE LA CIENCIA,0495-4548,,AHCI,HISTORY & PHILOSOPHY OF SCIENCE,Yes
09702J,THEORY & PSYCHOLOGY,0959-3543,1461-7447,SSCI,PSYCHOLOGY> MULTIDISCIPLINARY,Yes
D0160J,Theory and Applications of Categories,1201-561X,,SCIE,MATHEMATICS,Yes
D0160J,Theory and Applications of Categories,1201-561X,,SCIE,MATHEMATICS> APPLIED,Yes
91965J,THEORY AND DECISION,0040-5833,1573-7187,SSCI,ECONOMICS,Yes
91965J,THEORY AND DECISION,0040-5833,1573-7187,SSCI,SOCIAL SCIENCES> MATHEMATICAL METHODS,Yes
D8019J,Theory and Practice of Legislation,2050-8840,2050-8859,ESCI,LAW,Yes
13755J,THEORY AND PRACTICE OF LOGIC PROGRAMMING,1471-0684,1475-3081,SCIE,LOGIC,Yes
13755J,THEORY AND PRACTICE OF LOGIC PROGRAMMING,1471-0684,1475-3081,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
13755J,THEORY AND PRACTICE OF LOGIC PROGRAMMING,1471-0684,1475-3081,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
12353J,THEORY AND PRACTICE OF OBJECT SYSTEMS,1074-3227,,SCIE,COMPUTER SCIENCE> HARDWARE & ARCHITECTURE,No
12353J,THEORY AND PRACTICE OF OBJECT SYSTEMS,1074-3227,,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,No
12353J,THEORY AND PRACTICE OF OBJECT SYSTEMS,1074-3227,,SCIE,COMPUTER SCIENCE> THEORY & METHODS,No
E0044J,Theory and Research in Education,1477-8785,1741-3192,ESCI,EDUCATION & EDUCATIONAL RESEARCH,Yes
11096J,THEORY AND RESEARCH IN SOCIAL EDUCATION,0093-3104,2163-1654,ESCI> SSCI,EDUCATION & EDUCATIONAL RESEARCH,Yes
91990J,THEORY AND SOCIETY,0304-2421,1573-7853,SSCI,SOCIOLOGY,Yes
09494J,THEORY CULTURE & SOCIETY,0263-2764,1460-3616,AHCI> SSCI,CULTURAL STUDIES,Yes
D4718J,Theory in Action,1937-0229,1937-0237,ESCI,SOCIAL SCIENCES> INTERDISCIPLINARY,Yes
11976J,THEORY IN BIOSCIENCES,1431-7613,1611-7530,SCIE,BIOLOGY,Yes
11976J,THEORY IN BIOSCIENCES,1431-7613,1611-7530,SCIE,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Yes
11171J,THEORY INTO PRACTICE,0040-5841,1543-0421,SSCI,EDUCATION & EDUCATIONAL RESEARCH,Yes
11890J,THEORY OF COMPUTING SYSTEMS,1432-4350,1433-0490,SCIE,MATHEMATICS,Yes
11890J,THEORY OF COMPUTING SYSTEMS,1432-4350,1433-0490,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
91993J,THEORY OF PROBABILITY AND ITS APPLICATIONS,0040-585X,1095-7219,SCIE,STATISTICS & PROBABILITY,Yes
E0020J,Theory of Probability and Mathematical Statistics,0094-9000,1547-7363,ESCI,STATISTICS & PROBABILITY,Yes
D0956J,Theranostics,1838-7640,1838-7640,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
D5368J,Therapeutic Advances in Chronic Disease,2040-6223,2040-6231,SCIE> ESCI,PHARMACOLOGY & PHARMACY,Yes
E0414J,Therapeutic Advances in Drug Safety,2042-0986,2042-0994,ESCI,PHARMACOLOGY & PHARMACY,Yes
D5369J,Therapeutic Advances in Endocrinology and Metabolism,2042-0188,2042-0196,SCIE> ESCI,ENDOCRINOLOGY & METABOLISM,Yes
D2541J,Therapeutic Advances in Gastroenterology,1756-283X,1756-2848,SCIE,GASTROENTEROLOGY & HEPATOLOGY,Yes
D7920J,Therapeutic Advances in Hematology,2040-6207,2040-6215,ESCI,HEMATOLOGY,Yes
D8562J,Therapeutic Advances in Infectious Disease,2049-9361,2049-937X,ESCI,INFECTIOUS DISEASES,Yes
D2535J,Therapeutic Advances in Medical Oncology,1758-8340,1758-8359,SCIE,ONCOLOGY,Yes
D5370J,Therapeutic Advances in Musculoskeletal Disease,1759-720X,1759-7218,SCIE> ESCI,RHEUMATOLOGY,Yes
D2536J,Therapeutic Advances in Neurological Disorders,1756-2856,1756-2864,SCIE,CLINICAL NEUROLOGY,Yes
D7923J,Therapeutic Advances in Psychopharmacology,2045-1253,2045-1253,ESCI,PSYCHIATRY,Yes
D2537J,Therapeutic Advances in Respiratory Disease,1753-4658,1753-4666,SCIE,RESPIRATORY SYSTEM,Yes
D8559J,Therapeutic Advances in Urology,1756-2872,1756-2880,ESCI,UROLOGY & NEPHROLOGY,Yes
13757J,THERAPEUTIC APHERESIS,1091-6660,,SCIE,HEMATOLOGY,No
14128J,THERAPEUTIC APHERESIS AND DIALYSIS,1744-9979,1744-9987,SCIE,HEMATOLOGY,Yes
14128J,THERAPEUTIC APHERESIS AND DIALYSIS,1744-9979,1744-9987,SCIE,UROLOGY & NEPHROLOGY,Yes
D8339J,Therapeutic Delivery,2041-5990,2041-6008,ESCI,PHARMACOLOGY & PHARMACY,Yes
01865J,THERAPEUTIC DRUG MONITORING,0163-4356,1536-3694,SCIE,TOXICOLOGY,Yes
01865J,THERAPEUTIC DRUG MONITORING,0163-4356,1536-3694,SCIE,MEDICAL LABORATORY TECHNOLOGY,Yes
01865J,THERAPEUTIC DRUG MONITORING,0163-4356,1536-3694,SCIE,PHARMACOLOGY & PHARMACY,Yes
D3187J,Therapeutic Hypothermia and Temperature Management,2153-7658,2153-7933,SCIE,CRITICAL CARE MEDICINE,Yes
D1674J,Therapeutic Innovation & Regulatory Science,2168-4790,2168-4804,SCIE,PHARMACOLOGY & PHARMACY,Yes
D1674J,Therapeutic Innovation & Regulatory Science,2168-4790,2168-4804,SCIE,MEDICAL INFORMATICS,Yes
E0260J,Therapeutic Recreation Journal,0040-5914,2159-6433,ESCI,REHABILITATION,Yes
D0955J,Therapeutics and Clinical Risk Management,1178-203X,1178-203X,SCIE,HEALTH CARE SCIENCES & SERVICES,Yes
91999J,THERAPEUTISCHE UMSCHAU,0040-5930,1664-2864,SCIE> ESCI,MEDICINE> GENERAL & INTERNAL,Yes
91997J,THERAPIA HUNGARICA,0133-3909,,SCIE,MEDICINE> GENERAL & INTERNAL,No
92006J,THERAPIE,0040-5957,1958-5578,SCIE,PHARMACOLOGY & PHARMACY,Yes
91996J,THERAPIE DER GEGENWART,,,SCIE,MEDICINE> GENERAL & INTERNAL,No
C8226J,Therapie Familiale,0250-4952,,SSCI,PSYCHOLOGY> CLINICAL,No
92001J,THERIOGENOLOGY,0093-691X,1879-3231,SCIE,REPRODUCTIVE BIOLOGY,Yes
92001J,THERIOGENOLOGY,0093-691X,1879-3231,SCIE,VETERINARY SCIENCES,Yes
92009J,THERMAL ENGINEERING,0040-6015,,SCIE,ENGINEERING> MECHANICAL,No
92009J,THERMAL ENGINEERING,0040-6015,,SCIE,THERMODYNAMICS,No
C7719J,Thermal Science,0354-9836,2334-7163,SCIE,THERMODYNAMICS,Yes
92012J,THERMOCHIMICA ACTA,0040-6031,1872-762X,SCIE,CHEMISTRY> PHYSICAL,Yes
92012J,THERMOCHIMICA ACTA,0040-6031,1872-762X,SCIE,THERMODYNAMICS,Yes
92012J,THERMOCHIMICA ACTA,0040-6031,1872-762X,SCIE,CHEMISTRY> ANALYTICAL,Yes
C9044J,Thermophysics and Aeromechanics,0869-8643,1531-8699,SCIE,THERMODYNAMICS,Yes
C9044J,Thermophysics and Aeromechanics,0869-8643,1531-8699,SCIE,MECHANICS,Yes
C2589J,TheScientificWorldJOURNAL,1537-744X,,SCIE,MULTIDISCIPLINARY SCIENCES,No
C2589J,TheScientificWorldJOURNAL,1537-744X,,SCIE,ENVIRONMENTAL SCIENCES,No
D3091J,Thesis Eleven,0725-5136,1461-7455,ESCI,SOCIOLOGY,Yes
92015J,THIN FILMS,,,SCIE,ENGINEERING> ELECTRICAL & ELECTRONIC,No
92026J,THIN SOLID FILMS,0040-6090,,SCIE,MATERIALS SCIENCE> COATINGS & FILMS,Yes
92026J,THIN SOLID FILMS,0040-6090,,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
92026J,THIN SOLID FILMS,0040-6090,,SCIE,PHYSICS> APPLIED,Yes
92026J,THIN SOLID FILMS,0040-6090,,SCIE,PHYSICS> CONDENSED MATTER,Yes
14094J,THINKING & REASONING,1354-6783,1464-0708,SSCI,PSYCHOLOGY> EXPERIMENTAL,Yes
D0317J,Thinking Skills and Creativity,1871-1871,1878-0423,SSCI,EDUCATION & EDUCATIONAL RESEARCH,Yes
D7052J,Think-Philosophy for Everyone,1477-1756,1755-1196,ESCI,PHILOSOPHY,Yes
04907J,THIN-WALLED STRUCTURES,0263-8231,1879-3223,SCIE,ENGINEERING> CIVIL,Yes
C9915J,Third Text,0952-8822,1475-5297,AHCI,ART,Yes
04182J,THIRD WORLD PLANNING REVIEW,0142-7849,,SSCI,PLANNING & DEVELOPMENT,No
03185J,THIRD WORLD QUARTERLY,0143-6597,1360-2241,SSCI,PLANNING & DEVELOPMENT,Yes
01119J,THOMAS WOLFE NEWSLETTER,,,AHCI,LITERATURE> AMERICAN,No
03651J,THOMAS WOLFE REVIEW,0276-5683,,AHCI,LITERATURE> AMERICAN,Yes
00898J,THOMIST,0040-6325,,AHCI,PHILOSOPHY,Yes
00898J,THOMIST,0040-6325,,AHCI,RELIGION,Yes
01513J,THORACIC AND CARDIOVASCULAR SURGEON,0171-6425,1439-1902,SCIE,RESPIRATORY SYSTEM,Yes
01513J,THORACIC AND CARDIOVASCULAR SURGEON,0171-6425,1439-1902,SCIE,SURGERY,Yes
01513J,THORACIC AND CARDIOVASCULAR SURGEON,0171-6425,1439-1902,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,Yes
D4331J,Thoracic and Cardiovascular Surgeon Reports,2194-7635,2194-7643,ESCI,SURGERY,Yes
D0705J,Thoracic Cancer,1759-7706,1759-7714,SCIE,RESPIRATORY SYSTEM,Yes
D0705J,Thoracic Cancer,1759-7706,1759-7714,SCIE,ONCOLOGY,Yes
D1437J,Thoracic Surgery Clinics,1547-4127,,SCIE,SURGERY,Yes
D1437J,Thoracic Surgery Clinics,1547-4127,,SCIE,RESPIRATORY SYSTEM,Yes
92048J,THORAX,0040-6376,1468-3296,SCIE,RESPIRATORY SYSTEM,Yes
92059J,THORAXCHIRURGIE VASKULARE CHIRURGIE,,,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,No
92059J,THORAXCHIRURGIE VASKULARE CHIRURGIE,,,SCIE,RESPIRATORY SYSTEM,No
92059J,THORAXCHIRURGIE VASKULARE CHIRURGIE,,,SCIE,SURGERY,No
00463J,THOREAU SOCIETY BULLETIN,,,AHCI,LITERATURE> AMERICAN,No
D6115J,Thought-A Journal of Philosophy,2161-2234,2161-2234,ESCI,PHILOSOPHY,Yes
00646J,THOUGHT-A REVIEW OF CULTURE AND IDEA,0040-6457,,AHCI,HUMANITIES> MULTIDISCIPLINARY,No
92100J,THROMBOSIS AND HAEMOSTASIS,0340-6245,2567-689X,SCIE,HEMATOLOGY,Yes
92100J,THROMBOSIS AND HAEMOSTASIS,0340-6245,2567-689X,SCIE,PERIPHERAL VASCULAR DISEASE,Yes
92092J,THROMBOSIS ET DIATHESIS HAEMORRHAGICA,,,SCIE,PERIPHERAL VASCULAR DISEASE,No
D7019J,Thrombosis Journal,1477-9560,1477-9560,ESCI,PERIPHERAL VASCULAR DISEASE,Yes
92108J,THROMBOSIS RESEARCH,0049-3848,,SCIE,PERIPHERAL VASCULAR DISEASE,Yes
92108J,THROMBOSIS RESEARCH,0049-3848,,SCIE,HEMATOLOGY,Yes
D5374J,Thunderbird International Business Review,1096-4762,1520-6874,ESCI,BUSINESS,Yes
02009J,THYMUS,0165-6090,,SCIE,IMMUNOLOGY,No
09877J,THYROID,1050-7256,1557-9077,SCIE,ENDOCRINOLOGY & METABOLISM,Yes
D7050J,Thyroid Research,1756-6614,1756-6614,ESCI,ENDOCRINOLOGY & METABOLISM,Yes
D0213J,Ticks and Tick-Borne Diseases,1877-959X,1877-9603,SCIE,INFECTIOUS DISEASES,Yes
D0213J,Ticks and Tick-Borne Diseases,1877-959X,1877-9603,SCIE,MICROBIOLOGY,Yes
D0213J,Ticks and Tick-Borne Diseases,1877-959X,1877-9603,SCIE,PARASITOLOGY,Yes
D4547J,Ticontre-Teoria Testo Traduzione,2284-4473,2284-4473,ESCI,LITERARY THEORY & CRITICISM,Yes
09143J,TIDSSKRIFT FOR DEN NORSKE LAEGEFORENING,0029-2001,0807-7096,ESCI,MEDICINE> GENERAL & INTERNAL,Yes
92136J,TIDSSKRIFT FOR KJEMI BERGVESENOG METALLURGI,,,SCIE,METALLURGY & METALLURGICAL ENGINEERING,No
92162J,TIDSSKRIFT FOR SAMFUNNSFORSKNING,0040-716X,,SSCI,SOCIAL SCIENCES> INTERDISCIPLINARY,Yes
D8491J,Tiempos Modernos-Revista Electronica de Historia Moderna,1699-7778,1699-7778,ESCI,HISTORY,Yes
12226J,TIERAERZTLICHE PRAXIS AUSGABE GROSSTIERE NUTZTIERE,1434-1220,,SCIE,VETERINARY SCIENCES,Yes
12225J,TIERAERZTLICHE PRAXIS AUSGABE KLEINTIERE HEIMTIERE,1434-1239,2567-5842,SCIE,VETERINARY SCIENCES,Yes
92156J,TIERAERZTLICHE UMSCHAU,0049-3864,,SCIE,VETERINARY SCIENCES,Yes
10156J,TIERARZTLICHE PRAXIS,0303-6286,,SCIE,VETERINARY SCIENCES,No
11525J,TIJDSCHRIFT VAN DE KONINKLIJKE VERENIGING VOOR NEDERLANDSE MUZIEKGESCHIEDENIS,1383-7079,,AHCI,MUSIC,Yes
04640J,TIJDSCHRIFT VAN DE VERENIGING VOOR NEDERLANDSE MUZIEKGESCHIEDENIS,0042-3874,,AHCI,MUSIC,No
C7235J,Tijdschrift voor Communicatiewetenschap,1384-6930,,SSCI,COMMUNICATION,Yes
92168J,TIJDSCHRIFT VOOR DIERGENEESKUNDE,0040-7453,,SCIE,VETERINARY SCIENCES,Yes
92171J,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,0040-747X,1467-9663,SSCI,GEOGRAPHY,Yes
92171J,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,0040-747X,1467-9663,SSCI,ECONOMICS,Yes
92174J,TIJDSCHRIFT VOOR FILOSOFIE,0040-750X,2031-8952,AHCI> SSCI,PHILOSOPHY,Yes
03434J,TIJDSCHRIFT VOOR GESCHIEDENIS,0040-7518,0040-7518,AHCI,HISTORY,Yes
03435J,TIJDSCHRIFT VOOR NEDERLANDSE TAAL-EN LETTERKUNDE,0040-7550,,AHCI,LITERATURE> GERMAN> DUTCH> SCANDINAVIAN,Yes
C9241J,Tijdschrift voor Rechtsgeschiedenis-Revue d Histoire du Droit-The Legal History Review,0040-7585,,AHCI> SSCI,LAW,Yes
C9241J,Tijdschrift voor Rechtsgeschiedenis-Revue d Histoire du Droit-The Legal History Review,0040-7585,,AHCI> SSCI,HISTORY,Yes
04831J,TIKHOOKEANSKAYA GEOLOGIYA,0207-4028,,SCIE,GEOLOGY,No
D3926J,Tikkun,0887-9982,2164-0041,ESCI,HUMANITIES> MULTIDISCIPLINARY,Yes
D3674J,Tilburg Law Review-Journal of International and Comparative Law,2211-0046,2211-2596,ESCI,LAW,Yes
D0369J,Time & Mind-The Journal of Archaeology Consciousness and Culture,1751-696X,1751-6978,AHCI,ARCHAEOLOGY,Yes
10977J,TIME & SOCIETY,0961-463X,1461-7463,SSCI,SOCIAL SCIENCES> INTERDISCIPLINARY,Yes
D5671J,Tintas-Quaderni di Letterature Iberiche e Iberoamericane,2240-5437,2240-5437,ESCI,LITERATURE> ROMANCE,Yes
E0671J,Tirant,1579-7422,1579-7422,ESCI,MEDIEVAL & RENAISSANCE STUDIES,Yes
D9015J,Tire Science and Technology,0090-8657,1945-5852,ESCI,ENGINEERING> MECHANICAL,Yes
92191J,TISSUE & CELL,0040-8166,,SCIE,CELL BIOLOGY,Yes
92191J,TISSUE & CELL,0040-8166,,SCIE,ANATOMY & MORPHOLOGY,Yes
92186J,TISSUE ANTIGENS,0001-2815,,SCIE,IMMUNOLOGY,No
92186J,TISSUE ANTIGENS,0001-2815,,SCIE,PATHOLOGY,No
92186J,TISSUE ANTIGENS,0001-2815,,SCIE,CELL BIOLOGY,No
D6975J,Tissue Barriers,2168-8370,2168-8370,ESCI,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
12082J,TISSUE ENGINEERING,2152-4947,,SCIE,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,No
12082J,TISSUE ENGINEERING,2152-4947,,SCIE,CELL & TISSUE ENGINEERING,No
12082J,TISSUE ENGINEERING,2152-4947,,SCIE,CELL BIOLOGY,No
C8156J,Tissue Engineering and Regenerative Medicine,1738-2696,,SCIE,CELL & TISSUE ENGINEERING,Yes
C8156J,Tissue Engineering and Regenerative Medicine,1738-2696,,SCIE,ENGINEERING> BIOMEDICAL,Yes
C7824J,Tissue Engineering Part A,1937-3341,1937-335X,SCIE,CELL BIOLOGY,Yes
C7824J,Tissue Engineering Part A,1937-3341,1937-335X,SCIE,CELL & TISSUE ENGINEERING,Yes
C7824J,Tissue Engineering Part A,1937-3341,1937-335X,SCIE,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Yes
C7825J,Tissue Engineering Part B-Reviews,1937-3368,1937-3376,SCIE,CELL & TISSUE ENGINEERING,Yes
C7825J,Tissue Engineering Part B-Reviews,1937-3368,1937-3376,SCIE,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Yes
C7825J,Tissue Engineering Part B-Reviews,1937-3368,1937-3376,SCIE,CELL BIOLOGY,Yes
C7826J,Tissue Engineering Part C-Methods,1937-3384,1937-3392,SCIE,CELL & TISSUE ENGINEERING,Yes
C7826J,Tissue Engineering Part C-Methods,1937-3384,1937-3392,SCIE,CELL BIOLOGY,Yes
C7826J,Tissue Engineering Part C-Methods,1937-3384,1937-3392,SCIE,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Yes
90804J,T-I-T-JOURNAL OF LIFE SCIENCES,0039-8160,,SCIE,BIOLOGY,No
D5346J,Tizard Learning Disability Review,1359-5474,2042-8782,ESCI,EDUCATION> SPECIAL,Yes
00178J,TLS-THE TIMES LITERARY SUPPLEMENT,0307-661X,1366-7211,AHCI,HUMANITIES> MULTIDISCIPLINARY,Yes
C5830J,tm-Technisches Messen,0171-8096,,SCIE,INSTRUMENTS & INSTRUMENTATION,Yes
12512J,TOBACCO CONTROL,0964-4563,1468-3318,SCIE> SSCI,PUBLIC> ENVIRONMENTAL & OCCUPATIONAL HEALTH,Yes
D2380J,Tobacco Induced Diseases,1617-9625,,SCIE> SSCI,SUBSTANCE ABUSE,Yes
D2380J,Tobacco Induced Diseases,1617-9625,,SCIE> SSCI,PUBLIC> ENVIRONMENTAL & OCCUPATIONAL HEALTH,Yes
D5956J,Tobacco Use Insights,1179-173X,1179-173X,ESCI,PUBLIC> ENVIRONMENTAL & OCCUPATIONAL HEALTH,Yes
D3008J,Tocqueville Review,0730-479X,1918-6649,ESCI,POLITICAL SCIENCE,Yes
